"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","coding","compensation","condition","conditon","coordinates","correct","correct_next","correct_response_1","count_exp_sequence","count_exp_sequence1","count_exp_sequence2","count_experiment","count_fixation","count_getting_started","count_instr","count_list1","count_list2","count_logger","count_next","count_pause","count_response_1","count_sound","count_start_exp","count_task","count_thanks","count_training1","count_training2","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","live_row","live_row_training1","logfile","main_asp","main_num","main_tense","num","opensesame_codename","opensesame_version","repeat_cycle","response","response_next","response_response_1","response_thanks","response_time","response_time_next","response_time_response_1","response_time_thanks","round_decimals","sentence_rus","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","sub_asp","sub_num","sub_tense","sub_wo","subject_nr","subject_parity","time_exp_sequence","time_exp_sequence1","time_exp_sequence2","time_experiment","time_fixation","time_getting_started","time_instr","time_list1","time_list2","time_logger","time_next","time_pause","time_response_1","time_sound","time_start_exp","time_task","time_thanks","time_training1","time_training2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_count"
"undefined","undefined","87611.5238095","87611.5238095","black","legacy","4distr","0","distr","NA","uniform","undefined","undefined","undefined","18","0","0","0","18","NA","0","0","0","18","2","18","18","18","1","18","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","15","2","C:/Users/lev/Documents/Results_LJ/L01HO.csv","PRF","SG","FUT","44","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1772","915703","1772","NA","2","Витя помоет посуду, если доделает уроки.","1024","2","48000","-16","experiment","PRF","SG","FUT","(s)vo","1","odd","1001330","919391","NA","3682","1001332","NA","3687","871570","NA","1006122","3687","1006042","1004268","1001332","903567","1004267","NA","871570","NA","New experiment","0","1839842","21","yes","1024","6"
"undefined","undefined","83710.2272727","83710.2272727","black","legacy","10li","0","li","NA","uniform","undefined","undefined","undefined","19","0","0","0","19","NA","0","0","0","19","2","19","19","19","1","19","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","16","2","C:/Users/lev/Documents/Results_LJ/L01HO.csv","IMP","PL","PST","19","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1783","915703","1783","NA","2","Они интересовались, написали ли журналисты про выборы.","1024","2","48000","-16","experiment","PRF","PL","PST","vso","1","odd","1006539","919391","NA","3682","1006541","NA","3687","871570","NA","1011662","3687","1011582","1009797","1006541","903567","1009796","NA","871570","NA","New experiment","0","1841625","22","yes","1024","7"
"undefined","undefined","80122.826087","80122.826087","black","legacy","9distr","0","distr","NA","uniform","undefined","undefined","undefined","20","0","0","0","20","NA","0","0","0","20","2","20","20","20","1","20","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","17","2","C:/Users/lev/Documents/Results_LJ/L01HO.csv","PRF","SG","FUT","49","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1200","915703","1200","NA","2","Маша позвонит другу, если он будет дома.","1024","2","48000","-16","experiment","IMP","SG","FUT","svo","1","odd","1012041","919391","NA","3682","1012043","NA","3687","871570","NA","1016129","3687","1016049","1014847","1012043","903567","1014846","NA","871570","NA","New experiment","0","1842825","23","yes","1024","7"
"undefined","undefined","76831.4583333","76831.4583333","black","legacy","13esli","0","esli","NA","uniform","undefined","undefined","undefined","21","0","0","0","21","NA","0","0","0","21","2","21","21","21","1","21","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","18","2","C:/Users/lev/Documents/Results_LJ/L01HO.csv","PRF","SG","PST","26","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","1130","915703","1130","NA","2","Витя забыл, если во вторник будет игра.","1024","2","48000","-16","experiment","IMP","SG","FUT","ovs","1","odd","1016479","919391","NA","3682","1016481","NA","3687","871570","NA","1020239","3687","1020159","1019027","1016481","903567","1019027","NA","871570","NA","New experiment","0","1843955","24","yes","1024","7"
"undefined","undefined","73808.12","73808.12","black","legacy","7li","0","li","NA","uniform","undefined","undefined","undefined","22","0","0","0","22","NA","0","0","0","22","2","22","22","22","1","22","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","19","2","C:/Users/lev/Documents/Results_LJ/L01HO.csv","PRF","PL","PST","13","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1248","915703","1248","NA","2","Братья не сказали, покормили ли они собаку.","1024","2","48000","-16","experiment","PRF","PL","PST","vso","1","odd","1020636","919391","NA","3682","1020638","NA","3687","871570","NA","1024908","3687","1024828","1023578","1020638","903567","1023578","NA","871570","NA","New experiment","0","1845203","25","yes","1024","7"
"undefined","undefined","70997.5384615","70997.5384615","black","legacy","7distr","0","distr","NA","uniform","undefined","undefined","undefined","23","0","0","0","23","NA","0","0","0","23","2","23","23","23","1","23","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","20","2","C:/Users/lev/Documents/Results_LJ/L01HO.csv","PRF","SG","FUT","47","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","733","915703","733","NA","2","Рита останется дома, если сильно заболеет.","1024","2","48000","-16","experiment","PRF","SG","FUT","(s)ov","1","odd","1025299","919391","NA","3682","1025301","NA","3687","871570","NA","1029082","3687","1029002","1028267","1025302","903567","1028266","NA","871570","NA","New experiment","0","1845936","26","yes","1024","6"
"undefined","undefined","68388.2592593","68388.2592593","black","legacy","16esli","0","esli","NA","uniform","undefined","undefined","undefined","24","0","0","0","24","NA","0","0","0","24","2","24","24","24","1","24","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","21","2","C:/Users/lev/Documents/Results_LJ/L01HO.csv","IMP","PL","PST","32","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","547","915703","547","NA","2","Родители сомневалась, если Даня помыл посуду.","1024","2","48000","-16","experiment","PRF","SG","PST","svo","1","odd","1029488","919391","NA","3682","1029490","NA","3687","871570","NA","1033118","3687","1033037","1032488","1029490","903567","1032488","NA","871570","NA","New experiment","0","1846483","27","yes","1024","6"
"undefined","undefined","65987.1071429","65987.1071429","black","legacy","5distr","0","distr","NA","uniform","undefined","undefined","undefined","25","0","0","0","25","NA","0","0","0","25","2","25","25","25","1","25","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","22","2","C:/Users/lev/Documents/Results_LJ/L01HO.csv","PRF","SG","FUT","45","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1156","915703","1156","NA","2","Саша доест яблоко, если оно будет сладким.","1024","2","48000","-16","experiment","IMP","SG","FUT","sv","1","odd","1033507","919391","NA","3682","1033509","NA","3687","871570","NA","1037715","3687","1037635","1036477","1033509","903567","1036476","NA","871570","NA","New experiment","0","1847639","28","yes","1024","7"
"undefined","undefined","63751.6896552","63751.6896552","black","legacy","14esli","0","esli","NA","uniform","undefined","undefined","undefined","26","0","0","0","26","NA","0","0","0","26","2","26","26","26","1","26","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","23","2","C:/Users/lev/Documents/Results_LJ/L01HO.csv","IMP","PL","PST","28","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","1160","915703","1160","NA","2","Мальчики не знали, если друзья принесли торт.","1024","2","48000","-16","experiment","PRF","PL","PST","svo","1","odd","1038102","919391","NA","3682","1038104","NA","3687","871570","NA","1042219","3687","1042139","1040976","1038104","903567","1040976","NA","871570","NA","New experiment","0","1848799","29","yes","1024","7"
"undefined","undefined","61668.4666667","61668.4666667","black","legacy","2distr","0","distr","NA","uniform","undefined","undefined","undefined","27","0","0","0","27","NA","0","0","0","27","2","27","27","27","1","27","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","24","2","C:/Users/lev/Documents/Results_LJ/L01HO.csv","PRF","SG","FUT","42","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1255","915703","1255","NA","2","Вася купит картошку, если придёт зарплата.","1024","2","48000","-16","experiment","PRF","SG","FUT","vs","1","odd","1042592","919391","NA","3682","1042594","NA","3687","871570","NA","1046795","3687","1046715","1045458","1042595","903567","1045457","NA","871570","NA","New experiment","0","1850054","30","yes","1024","6"
"undefined","undefined","59741.3225806","59741.3225806","black","legacy","4li","0","li","NA","uniform","undefined","undefined","undefined","28","0","0","0","28","NA","0","0","0","28","2","28","28","28","1","28","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","25","2","C:/Users/lev/Documents/Results_LJ/L01HO.csv","PRF","SG","PST","7","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1927","915703","1927","NA","2","Петя спросил, смотрел ли Вася кино.","1024","2","48000","-16","experiment","IMP","SG","PST","vso","1","odd","1047137","919391","NA","3682","1047139","NA","3687","871570","NA","1051458","3687","1051378","1049448","1047139","903567","1049448","NA","871570","NA","New experiment","0","1851981","31","yes","1024","6"
"undefined","undefined","57932.375","57932.375","black","legacy","17esli","0","esli","NA","uniform","undefined","undefined","undefined","29","0","0","0","29","NA","0","0","0","29","2","29","29","29","1","29","0","0","0","12/06/19 20:07:35","The main experiment item","yes","","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","26","2","C:/Users/lev/Documents/Results_LJ/L01HO.csv","PRF","SG","PST","34","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","1855","915703","1855","NA","2","Вася не решил, если он купит газету.","1024","2","48000","-16","experiment","PRF","SG","FUT","svo","1","odd","1051840","919391","NA","3682","1051842","NA","3687","871570","NA","1056405","3687","1056325","1054467","1051842","903567","1054466","NA","871570","NA","New experiment","0","1853836","32","yes","1024","7"
