"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","coding","compensation","condition","conditon","coordinates","correct","correct_next","correct_response_1","count_exp_sequence","count_exp_sequence1","count_exp_sequence2","count_experiment","count_fixation","count_getting_started","count_instr","count_list1","count_list2","count_logger","count_next","count_pause","count_response_1","count_sound","count_start_exp","count_task","count_thanks","count_training1","count_training2","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","live_row","live_row_training2","logfile","main_asp","main_num","main_tense","num","opensesame_codename","opensesame_version","repeat_cycle","response","response_next","response_response_1","response_thanks","response_time","response_time_next","response_time_response_1","response_time_thanks","round_decimals","sentence_rus","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","sub_asp","sub_num","sub_tense","sub_wo","subject_nr","subject_parity","time_exp_sequence","time_exp_sequence1","time_exp_sequence2","time_experiment","time_fixation","time_getting_started","time_instr","time_list1","time_list2","time_logger","time_next","time_pause","time_response_1","time_sound","time_start_exp","time_task","time_thanks","time_training1","time_training2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_count"
"undefined","undefined","10336.5","10336.5","black","legacy","10distr","0","distr","NA","uniform","undefined","undefined","undefined","0","0","0","0","0","NA","0","0","0","0","2","0","0","0","1","0","0","0","0","12/06/19 13:02:28","The main experiment item","yes","NA","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","0","0","C:/Users/lev/Documents/L00HO.csv","PRF","SG","FUT","50","Kafkaesque Koffka","3.2.7","0","4","space","4","NA","5884","14789","5884","NA","2","Дима проверит почту, если компьютер включится.","1024","2","48000","-16","experiment","PRF","SG","FUT","sv","0","even","17449","NA","NA","2348","17451","NA","2354","NA","17145","26430","2354","26349","20463","17451","NA","20462","NA","NA","17145","New experiment","0","20673","2","yes","1024","6"
"undefined","undefined","7258.66666667","7258.66666667","black","legacy","2esli","0","esli","NA","uniform","undefined","undefined","undefined","1","0","0","0","1","NA","0","0","0","1","2","1","1","1","1","1","0","0","0","12/06/19 13:02:28","The main experiment item","yes","NA","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","1","1","C:/Users/lev/Documents/L00HO.csv","PRF","PL","PST","4","Kafkaesque Koffka","3.2.7","0","2","space","2","NA","1103","14789","1103","NA","2","Гости не сообщили, если они приедут.","1024","2","48000","-16","experiment","PRF","PL","FUT","so","0","even","26859","NA","NA","2348","26862","NA","2354","NA","17145","30679","2354","30599","29493","26862","NA","29493","NA","NA","17145","New experiment","0","21776","3","yes","1024","6"
"undefined","undefined","5946.25","5946.25","black","legacy","12li","0","li","NA","uniform","undefined","undefined","undefined","2","0","0","0","2","NA","0","0","0","2","2","2","2","2","1","2","0","0","0","12/06/19 13:02:28","The main experiment item","yes","NA","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","2","2","C:/Users/lev/Documents/L00HO.csv","PRF","SG","PST","23","Kafkaesque Koffka","3.2.7","0","4","space","4","NA","2009","14789","2009","NA","2","Нина спросила, поели ли дети.","1024","2","48000","-16","experiment","PRF","PL","PST","vos","0","even","31004","NA","NA","2348","31006","NA","2354","NA","17145","35297","2354","35217","33205","31006","NA","33204","NA","NA","17145","New experiment","0","23785","4","yes","1024","5"
"undefined","undefined","10910.1666667","10910.1666667","black","legacy","8esli","0","li","esli","uniform","undefined","undefined","undefined","3","0","0","0","3","NA","0","0","0","3","2","3","3","3","1","3","0","0","0","12/06/19 13:02:28","The main experiment item","yes","NA","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","0","2","C:/Users/lev/Documents/L00HO.csv","PRF","SG","PST","16","Kafkaesque Koffka","3.2.7","0","4","space","4","NA","2338","39338","2338","NA","2","Миша уточнил, если на обед будет суп.","1024","2","48000","-16","experiment","IMP","SG","FUT","ovs","0","even","41958","NA","41692","2348","41960","NA","2354","NA","17145","46955","2354","46875","44535","41960","35401","44534","NA","NA","17145","New experiment","0","65461","6","yes","1024","7"
"undefined","undefined","9509.71428571","9509.71428571","black","legacy","1esli","0","li","esli","uniform","undefined","undefined","undefined","4","0","0","0","4","NA","0","0","0","4","2","4","4","4","1","4","0","0","0","12/06/19 13:02:28","The main experiment item","yes","NA","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","1","2","C:/Users/lev/Documents/L00HO.csv","IMP","SG","PST","2","Kafkaesque Koffka","3.2.7","0","2","space","2","NA","1107","39338","1107","NA","2","Саша не знала, если дети придут домой.","1024","2","48000","-16","experiment","PRF","PL","FUT","svo","0","even","47315","NA","41692","2348","47318","NA","2354","NA","17145","51263","2354","51183","50073","47318","35401","50072","NA","NA","17145","New experiment","0","66568","7","yes","1024","7"
"undefined","undefined","8391.625","8391.625","black","legacy","18li","0","li","li","uniform","undefined","undefined","undefined","5","0","0","0","5","NA","0","0","0","5","2","5","5","5","1","5","0","0","0","12/06/19 13:02:28","The main experiment item","yes","NA","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","2","2","C:/Users/lev/Documents/L00HO.csv","PRF","PL","PST","35","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","565","39338","565","NA","2","Хозяева уточнили, выключила ли Маша плиту.","1024","2","48000","-16","experiment","PRF","SG","PST","vso","0","even","51656","NA","41692","2348","51658","NA","2354","NA","17145","55350","2354","55270","54703","51658","35401","54702","NA","NA","17145","New experiment","0","67133","8","yes","1024","6"
"undefined","undefined","7521.44444444","7521.44444444","black","legacy","3distr","0","li","distr","uniform","undefined","undefined","undefined","6","0","0","0","6","NA","0","0","0","6","2","6","6","6","1","6","0","0","0","12/06/19 13:02:28","The main experiment item","yes","NA","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","3","2","C:/Users/lev/Documents/L00HO.csv","PRF","SG","FUT","43","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","560","39338","560","NA","2","Таня посмотрит новости, если заработает телевизор.","1024","2","48000","-16","experiment","PRF","SG","FUT","vs","0","even","55739","NA","41692","2348","55741","NA","2354","NA","17145","59575","2354","59495","58933","55741","35401","58933","NA","NA","17145","New experiment","0","67693","9","yes","1024","6"
"undefined","undefined","6844.4","6844.4","black","legacy","1distr","0","li","distr","uniform","undefined","undefined","undefined","7","0","0","0","7","NA","0","0","0","7","2","7","7","7","1","7","0","0","0","12/06/19 13:02:28","The main experiment item","yes","NA","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","4","2","C:/Users/lev/Documents/L00HO.csv","PRF","SG","FUT","41","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","751","39338","751","NA","2","Папа придёт поздно, если вечером будет снег.","1024","2","48000","-16","experiment","IMP","PL","FUT","ovs","0","even","59939","NA","41692","2348","59941","NA","2354","NA","17145","63517","2354","63437","62683","59941","35401","62683","NA","NA","17145","New experiment","0","68444","10","yes","1024","7"
"undefined","undefined","6264.18181818","6264.18181818","black","legacy","15li","0","li","li","uniform","undefined","undefined","undefined","8","0","0","0","8","NA","0","0","0","8","2","8","8","8","1","8","0","0","0","12/06/19 13:02:28","The main experiment item","yes","NA","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","5","2","C:/Users/lev/Documents/L00HO.csv","PRF","SG","PST","29","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","462","39338","462","NA","2","Учитель поинтересовался, выполнили ли ученики задание.","1024","2","48000","-16","experiment","PRF","PL","PST","vso","0","even","63989","NA","41692","2348","63991","NA","2354","NA","17145","68216","2354","68136","67672","63991","35401","67672","NA","NA","17145","New experiment","0","68906","11","yes","1024","6"
"undefined","undefined","5763.08333333","5763.08333333","black","legacy","3esli","0","li","esli","uniform","undefined","undefined","undefined","9","0","0","0","9","NA","0","0","0","9","2","9","9","9","1","9","0","0","0","12/06/19 13:02:28","The main experiment item","yes","NA","tmpib3fhvff.osexp","C:/Users/lev/Downloads","no","mono","no","18","no","white","no","yes","768","6","2","C:/Users/lev/Documents/L00HO.csv","IMP","PL","PST","6","Kafkaesque Koffka","3.2.7","0","2","space","2","NA","251","39338","251","NA","2","Туристы сомневались, если вечером будет дождь.","1024","2","48000","-16","experiment","IMP","SG","FUT","vs","0","even","68593","NA","41692","2348","68595","NA","2354","NA","17145","71877","2354","71796","71543","68595","35401","71542","NA","NA","17145","New experiment","0","69157","12","yes","1024","6"
