"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","coding","compensation","condition","conditon","coordinates","correct","correct_next","correct_response_1","count_exp_sequence","count_exp_sequence1","count_exp_sequence2","count_experiment","count_fixation","count_getting_started","count_instr","count_list1","count_list2","count_logger","count_next","count_pause","count_response_1","count_sound","count_start_exp","count_task","count_thanks","count_training1","count_training2","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","live_row","live_row_training2","logfile","main_asp","main_num","main_tense","num","opensesame_codename","opensesame_version","repeat_cycle","response","response_next","response_response_1","response_thanks","response_time","response_time_next","response_time_response_1","response_time_thanks","round_decimals","sentence_rus","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","sub_asp","sub_num","sub_tense","sub_wo","subject_nr","subject_parity","time_exp_sequence","time_exp_sequence1","time_exp_sequence2","time_experiment","time_fixation","time_getting_started","time_instr","time_list1","time_list2","time_logger","time_next","time_pause","time_response_1","time_sound","time_start_exp","time_task","time_thanks","time_training1","time_training2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_count"
"undefined","undefined","11410","11410","black","legacy","10distr","0","distr","NA","uniform","undefined","undefined","undefined","0","0","0","0","0","NA","0","0","0","0","2","0","0","0","1","0","0","0","0","Sat Jan 25 18:09:37 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","0","0","/Users/nadya/Desktop/Эксперимент/subject-40.csv","PRF","SG","FUT","50","Kafkaesque Koffka","3.2.7","0","4","space","4","NA","7235","15585","7235","NA","2","Дима проверит почту, если компьютер включится.","1024","2","48000","-16","experiment","PRF","SG","FUT","sv","40","even","19501","NA","NA","3461","19516","NA","3497","NA","19104","29891","3498","29811","22556","19516","NA","22555","NA","NA","19104","New experiment","0","22820","2","yes","1024","6"
"undefined","undefined","8287.66666667","8287.66666667","black","legacy","2esli","0","esli","NA","uniform","undefined","undefined","undefined","1","0","0","0","1","NA","0","0","0","1","2","1","1","1","1","1","0","0","0","Sat Jan 25 18:09:37 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","1","1","/Users/nadya/Desktop/Эксперимент/subject-40.csv","PRF","PL","PST","4","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","2043","15585","2043","NA","2","Гости не сообщили, если они приедут.","1024","2","48000","-16","experiment","PRF","PL","FUT","so","40","even","30271","NA","NA","3461","30283","NA","3497","NA","19104","35046","3498","34966","32900","30283","NA","32900","NA","NA","19104","New experiment","0","24863","3","yes","1024","6"
"undefined","undefined","6608.25","6608.25","black","legacy","12li","0","li","NA","uniform","undefined","undefined","undefined","2","0","0","0","2","NA","0","0","0","2","2","2","2","2","1","2","0","0","0","Sat Jan 25 18:09:37 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","2","2","/Users/nadya/Desktop/Эксперимент/subject-40.csv","PRF","SG","PST","23","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1570","15585","1570","NA","2","Нина спросила, поели ли дети.","1024","2","48000","-16","experiment","PRF","PL","PST","vos","40","even","35387","NA","NA","3461","35399","NA","3497","NA","19104","39259","3498","39178","37589","35399","NA","37589","NA","NA","19104","New experiment","0","26433","4","yes","1024","5"
"undefined","undefined","15846.3333333","15846.3333333","black","legacy","8esli","0","li","esli","uniform","undefined","undefined","undefined","3","0","0","0","3","NA","0","0","0","3","2","3","3","3","1","3","0","0","0","Sat Jan 25 18:09:37 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","0","2","/Users/nadya/Desktop/Эксперимент/subject-40.csv","PRF","SG","PST","16","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","6214","62431","6214","NA","2","Миша уточнил, если на обед будет суп.","1024","2","48000","-16","experiment","IMP","SG","FUT","ovs","40","even","66282","NA","65932","3461","66294","NA","3497","NA","19104","75181","3498","75101","68870","66294","39296","68870","NA","NA","19104","New experiment","0","95078","6","yes","1024","7"
"undefined","undefined","13785.4285714","13785.4285714","black","legacy","1esli","0","li","esli","uniform","undefined","undefined","undefined","4","0","0","0","4","NA","0","0","0","4","2","4","4","4","1","4","0","0","0","Sat Jan 25 18:09:37 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","1","2","/Users/nadya/Desktop/Эксперимент/subject-40.csv","IMP","SG","PST","2","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","1420","62431","1420","NA","2","Саша не знала, если дети придут домой.","1024","2","48000","-16","experiment","PRF","PL","FUT","svo","40","even","75572","NA","65932","3461","75585","NA","3497","NA","19104","79883","3498","79803","78365","75585","39296","78364","NA","NA","19104","New experiment","0","96498","7","yes","1024","7"
"undefined","undefined","12268.375","12268.375","black","legacy","18li","0","li","li","uniform","undefined","undefined","undefined","5","0","0","0","5","NA","0","0","0","5","2","5","5","5","1","5","0","0","0","Sat Jan 25 18:09:37 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","2","2","/Users/nadya/Desktop/Эксперимент/subject-40.csv","PRF","PL","PST","35","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1649","62431","1649","NA","2","Хозяева уточнили, выключила ли Маша плиту.","1024","2","48000","-16","experiment","PRF","SG","PST","vso","40","even","80277","NA","65932","3461","80288","NA","3497","NA","19104","85083","3498","85003","83335","80288","39296","83335","NA","NA","19104","New experiment","0","98147","8","yes","1024","6"
"undefined","undefined","11032.4444444","11032.4444444","black","legacy","3distr","0","li","distr","uniform","undefined","undefined","undefined","6","0","0","0","6","NA","0","0","0","6","2","6","6","6","1","6","0","0","0","Sat Jan 25 18:09:37 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","3","2","/Users/nadya/Desktop/Эксперимент/subject-40.csv","PRF","SG","FUT","43","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1145","62431","1145","NA","2","Таня посмотрит новости, если заработает телевизор.","1024","2","48000","-16","experiment","PRF","SG","FUT","vs","40","even","85502","NA","65932","3461","85513","NA","3497","NA","19104","89953","3498","89872","88712","85513","39296","88711","NA","NA","19104","New experiment","0","99292","9","yes","1024","6"
"undefined","undefined","10264.4","10264.4","black","legacy","1distr","0","li","distr","uniform","undefined","undefined","undefined","7","0","0","0","7","NA","0","0","0","7","2","7","7","7","1","7","0","0","0","Sat Jan 25 18:09:37 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","4","2","/Users/nadya/Desktop/Эксперимент/subject-40.csv","PRF","SG","FUT","41","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","3352","62431","3352","NA","2","Папа придёт поздно, если вечером будет снег.","1024","2","48000","-16","experiment","IMP","PL","FUT","ovs","40","even","90340","NA","65932","3461","90352","NA","3497","NA","19104","96564","3498","96484","93110","90352","39296","93109","NA","NA","19104","New experiment","0","102644","10","yes","1024","7"
"undefined","undefined","9421","9421","black","legacy","15li","0","li","li","uniform","undefined","undefined","undefined","8","0","0","0","8","NA","0","0","0","8","2","8","8","8","1","8","0","0","0","Sat Jan 25 18:09:37 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","5","2","/Users/nadya/Desktop/Эксперимент/subject-40.csv","PRF","SG","PST","29","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","987","62431","987","NA","2","Учитель поинтересовался, выполнили ли ученики задание.","1024","2","48000","-16","experiment","PRF","PL","PST","vso","40","even","97003","NA","65932","3461","97015","NA","3497","NA","19104","101787","3498","101707","100703","97015","39296","100702","NA","NA","19104","New experiment","0","103631","11","yes","1024","6"
"undefined","undefined","8763.58333333","8763.58333333","black","legacy","3esli","0","li","esli","uniform","undefined","undefined","undefined","9","0","0","0","9","NA","0","0","0","9","2","9","9","9","1","9","0","0","0","Sat Jan 25 18:09:37 2020","The main experiment item","yes","liesli.osexp","/Users/nadya/Desktop/Эксперимент","no","mono","no","18","no","white","no","no","768","6","2","/Users/nadya/Desktop/Эксперимент/subject-40.csv","IMP","PL","PST","6","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","1532","62431","1532","NA","2","Туристы сомневались, если вечером будет дождь.","1024","2","48000","-16","experiment","IMP","SG","FUT","vs","40","even","102200","NA","65932","3461","102212","NA","3497","NA","19104","106789","3498","106709","105161","102212","39296","105161","NA","NA","19104","New experiment","0","105163","12","yes","1024","6"
