"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","coding","compensation","condition","conditon","coordinates","correct","correct_next","correct_response_1","count_exp_sequence","count_exp_sequence1","count_exp_sequence2","count_experiment","count_fixation","count_getting_started","count_instr","count_list1","count_list2","count_logger","count_next","count_pause","count_response_1","count_sound","count_start_exp","count_task","count_thanks","count_training1","count_training2","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","live_row","live_row_training1","logfile","main_asp","main_num","main_tense","num","opensesame_codename","opensesame_version","repeat_cycle","response","response_next","response_response_1","response_thanks","response_time","response_time_next","response_time_response_1","response_time_thanks","round_decimals","sentence_rus","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","sub_asp","sub_num","sub_tense","sub_wo","subject_nr","subject_parity","time_exp_sequence","time_exp_sequence1","time_exp_sequence2","time_experiment","time_fixation","time_getting_started","time_instr","time_list1","time_list2","time_logger","time_next","time_pause","time_response_1","time_sound","time_start_exp","time_task","time_thanks","time_training1","time_training2","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_count"
"undefined","undefined","10805","10805","black","legacy","10distr","0","distr","NA","uniform","undefined","undefined","undefined","0","0","0","0","0","NA","0","0","0","0","2","0","0","0","1","0","0","0","0","Thu Dec 19 05:45:48 2019","The main experiment item","yes","liesli.osexp","C:/Users/annar/OneDrive/Active/Inderect_questions_li_esli/Exp_script","no","mono","no","18","no","white","no","yes","768","0","0","C:/Users/annar/OneDrive/Active/Inderect_questions_li_esli/Exp_script/L29NY.csv","PRF","SG","FUT","50","Kafkaesque Koffka","3.2.7","0","4","space","4","NA","6162","15448","6162","NA","2","Дима проверит почту, если компьютер включится.","1024","2","48000","-16","experiment","PRF","SG","FUT","sv","29","odd","21245","NA","NA","5445","21249","NA","5463","20913","NA","30527","5463","30447","24281","21249","NA","24281","NA","20913","NA","New experiment","0","21610","2","yes","1024","6"
"undefined","undefined","8424","8424","black","legacy","2li","0","li","NA","uniform","undefined","undefined","undefined","1","0","0","0","1","NA","0","0","0","1","2","1","1","1","1","1","0","0","0","Thu Dec 19 05:45:48 2019","The main experiment item","yes","liesli.osexp","C:/Users/annar/OneDrive/Active/Inderect_questions_li_esli/Exp_script","no","mono","no","18","no","white","no","yes","768","1","1","C:/Users/annar/OneDrive/Active/Inderect_questions_li_esli/Exp_script/L29NY.csv","PRF","PL","PST","3","Kafkaesque Koffka","3.2.7","0","4","space","4","NA","3662","15448","3662","NA","2","Гости не сообщили, приедут ли они.","1024","2","48000","-16","experiment","PRF","PL","FUT","vs","29","odd","30825","NA","NA","5445","30827","NA","5463","20913","NA","36964","5463","36884","33219","30827","NA","33219","NA","20913","NA","New experiment","0","25272","3","yes","1024","6"
"undefined","undefined","7018.25","7018.25","black","legacy","12esli","0","esli","NA","uniform","undefined","undefined","undefined","2","0","0","0","2","NA","0","0","0","2","2","2","2","2","1","2","0","0","0","Thu Dec 19 05:45:48 2019","The main experiment item","yes","liesli.osexp","C:/Users/annar/OneDrive/Active/Inderect_questions_li_esli/Exp_script","no","mono","no","18","no","white","no","yes","768","2","2","C:/Users/annar/OneDrive/Active/Inderect_questions_li_esli/Exp_script/L29NY.csv","PRF","SG","PST","24","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","2801","15448","2801","NA","2","Нина спросила, если дети поели.","1024","2","48000","-16","experiment","PRF","PL","PST","sv","29","odd","37254","NA","NA","5445","37256","NA","5463","20913","NA","42354","5463","42274","39467","37256","NA","39467","NA","20913","NA","New experiment","0","28073","4","yes","1024","5"
"undefined","undefined","11983.333333333334","11983.333333333334","black","legacy","8li","0","li","NA","uniform","undefined","undefined","undefined","3","0","0","0","3","NA","0","0","0","3","2","3","3","3","1","3","0","0","0","Thu Dec 19 05:45:48 2019","The main experiment item","yes","liesli.osexp","C:/Users/annar/OneDrive/Active/Inderect_questions_li_esli/Exp_script","no","mono","no","18","no","white","no","yes","768","0","2","C:/Users/annar/OneDrive/Active/Inderect_questions_li_esli/Exp_script/L29NY.csv","PRF","SG","PST","15","Kafkaesque Koffka","3.2.7","0","4","space","4","NA","2275","41552","2275","NA","2","Миша уточнил, будет ли на обед суп.","1024","2","48000","-16","experiment","IMP","SG","FUT","vos","29","odd","47279","47015","NA","5445","47281","NA","5463","20913","NA","52088","5463","52008","49730","47281","42395","49730","NA","20913","NA","New experiment","0","71900","6","yes","1024","7"
"undefined","undefined","10524.57142857143","10524.57142857143","black","legacy","1li","0","li","NA","uniform","undefined","undefined","undefined","4","0","0","0","4","NA","0","0","0","4","2","4","4","4","1","4","0","0","0","Thu Dec 19 05:45:48 2019","The main experiment item","yes","liesli.osexp","C:/Users/annar/OneDrive/Active/Inderect_questions_li_esli/Exp_script","no","mono","no","18","no","white","no","yes","768","1","2","C:/Users/annar/OneDrive/Active/Inderect_questions_li_esli/Exp_script/L29NY.csv","IMP","SG","PST","1","Kafkaesque Koffka","3.2.7","0","5","space","5","NA","1772","41552","1772","NA","2","Саша не знала, придут ли дети домой.","1024","2","48000","-16","experiment","PRF","PL","FUT","vso","29","odd","52363","47015","NA","5445","52364","NA","5463","20913","NA","56625","5463","56545","54770","52364","42395","54769","NA","20913","NA","New experiment","0","73672","7","yes","1024","7"
"undefined","undefined","9342.25","9342.25","black","legacy","18esli","0","esli","NA","uniform","undefined","undefined","undefined","5","0","0","0","5","NA","0","0","0","5","2","5","5","5","1","5","0","0","0","Thu Dec 19 05:45:48 2019","The main experiment item","yes","liesli.osexp","C:/Users/annar/OneDrive/Active/Inderect_questions_li_esli/Exp_script","no","mono","no","18","no","white","no","yes","768","2","2","C:/Users/annar/OneDrive/Active/Inderect_questions_li_esli/Exp_script/L29NY.csv","PRF","PL","PST","36","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","1066","41552","1066","NA","2","Хозяева уточнили, если Маша выключила плиту.","1024","2","48000","-16","experiment","PRF","SG","PST","svo","29","odd","56997","47015","NA","5445","56999","NA","5463","20913","NA","61189","5463","61109","60039","56999","42395","60039","NA","20913","NA","New experiment","0","74738","8","yes","1024","6"
"undefined","undefined","8652.444444444445","8652.444444444445","black","legacy","3distr","0","distr","NA","uniform","undefined","undefined","undefined","6","0","0","0","6","NA","0","0","0","6","2","6","6","6","1","6","0","0","0","Thu Dec 19 05:45:48 2019","The main experiment item","yes","liesli.osexp","C:/Users/annar/OneDrive/Active/Inderect_questions_li_esli/Exp_script","no","mono","no","18","no","white","no","yes","768","3","2","C:/Users/annar/OneDrive/Active/Inderect_questions_li_esli/Exp_script/L29NY.csv","PRF","SG","FUT","43","Kafkaesque Koffka","3.2.7","0","4","space","4","NA","3134","41552","3134","NA","2","Таня посмотрит новости, если заработает телевизор.","1024","2","48000","-16","experiment","PRF","SG","FUT","vs","29","odd","61564","47015","NA","5445","61566","NA","5463","20913","NA","67992","5463","67911","64770","61566","42395","64770","NA","20913","NA","New experiment","0","77872","9","yes","1024","6"
"undefined","undefined","7976","7976","black","legacy","1distr","0","distr","NA","uniform","undefined","undefined","undefined","7","0","0","0","7","NA","0","0","0","7","2","7","7","7","1","7","0","0","0","Thu Dec 19 05:45:48 2019","The main experiment item","yes","liesli.osexp","C:/Users/annar/OneDrive/Active/Inderect_questions_li_esli/Exp_script","no","mono","no","18","no","white","no","yes","768","4","2","C:/Users/annar/OneDrive/Active/Inderect_questions_li_esli/Exp_script/L29NY.csv","PRF","SG","FUT","41","Kafkaesque Koffka","3.2.7","0","3","space","3","NA","1888","41552","1888","NA","2","Папа придёт поздно, если вечером будет снег.","1024","2","48000","-16","experiment","IMP","PL","FUT","ovs","29","odd","68310","47015","NA","5445","68312","NA","5463","20913","NA","73042","5463","72962","71070","68312","42395","71070","NA","20913","NA","New experiment","0","79760","10","yes","1024","7"
"undefined","undefined","7378.636363636364","7378.636363636364","black","legacy","15esli","0","esli","NA","uniform","undefined","undefined","undefined","8","0","0","0","8","NA","0","0","0","8","2","8","8","8","1","8","0","0","0","Thu Dec 19 05:45:48 2019","The main experiment item","yes","liesli.osexp","C:/Users/annar/OneDrive/Active/Inderect_questions_li_esli/Exp_script","no","mono","no","18","no","white","no","yes","768","5","2","C:/Users/annar/OneDrive/Active/Inderect_questions_li_esli/Exp_script/L29NY.csv","PRF","SG","PST","30","Kafkaesque Koffka","3.2.7","0","1","space","1","NA","1405","41552","1405","NA","2","Учитель поинтересовался, если ученики выполнили задание.","1024","2","48000","-16","experiment","PRF","PL","PST","svo","29","odd","73386","47015","NA","5445","73388","NA","5463","20913","NA","78440","5463","78359","76951","73388","42395","76951","NA","20913","NA","New experiment","0","81165","11","yes","1024","6"
"undefined","undefined","6903.583333333333","6903.583333333333","black","legacy","3li","0","li","NA","uniform","undefined","undefined","undefined","9","0","0","0","9","NA","0","0","0","9","2","9","9","9","1","9","0","0","0","Thu Dec 19 05:45:48 2019","The main experiment item","yes","liesli.osexp","C:/Users/annar/OneDrive/Active/Inderect_questions_li_esli/Exp_script","no","mono","no","18","no","white","no","yes","768","6","2","C:/Users/annar/OneDrive/Active/Inderect_questions_li_esli/Exp_script/L29NY.csv","IMP","PL","PST","5","Kafkaesque Koffka","3.2.7","0","4","space","4","NA","1678","41552","1678","NA","2","Туристы сомневались, будет ли вечером дождь.","1024","2","48000","-16","experiment","IMP","SG","FUT","vs","29","odd","78769","47015","NA","5445","78771","NA","5463","20913","NA","83280","5463","83200","81518","78771","42395","81518","NA","20913","NA","New experiment","0","82843","12","yes","1024","6"
